
Date    RET1      RET2      RET3      RET4      RET5      RET6      RET7      RET8      RET9      RET10      RET11    RET12     RET13      RET14     RET15    RET16      RET17    RET18     RET19      RET20    RET21      RET22     RET23     RET24     RET25     market    SMB      HML       TERM      DEF         MOM
196406  0.014600 -0.000200  0.014300  0.004500  0.011800  0.007200  0.015700  0.012400  0.012200  0.015500  0.008700  0.018400  0.021600  0.019500  0.009400  0.008400  0.009100  0.010800  0.019800  0.027900  0.006300  0.025600  0.001100  0.011200  0.021500  0.012100 -0.003100  0.007200  0.003900  0.001800  0.004900
196407  0.009200  0.035800  0.027100  0.025100  0.043700  0.007700  0.009800  0.038200  0.028400  0.021400  0.019800  0.027500  0.027900  0.028900  0.009400  0.008800  0.031200  0.013300  0.014700  0.034200  0.022700  0.003600  0.037400  0.014900  0.005600  0.017100  0.003200  0.007500 -0.002200  0.002200 -0.002900
196408  0.007400 -0.021800 -0.006200 -0.011200 -0.008500 -0.020700 -0.031000 -0.018800 -0.002000 -0.019400 -0.030100 -0.009600 -0.001900 -0.004300 -0.025400 -0.012900  0.001400  0.009700 -0.003000 -0.005100 -0.015700 -0.018500 -0.004000 -0.011400 -0.033100 -0.014100 -0.000900  0.002700 -0.000800  0.000900 -0.001900
196409  0.042700  0.037500  0.058700  0.024400  0.036900  0.032600  0.021500  0.019400  0.017100  0.042600  0.011200  0.021400  0.028900  0.029800  0.034300  0.027700  0.027600  0.038000  0.043800  0.044900  0.028200  0.009700  0.040800  0.043100  0.065800  0.027700 -0.005600  0.017200  0.002200 -0.000700 -0.004000
196410  0.016200  0.001000  0.023700  0.020500  0.031000 -0.017700  0.015400  0.014000  0.009400  0.011900  0.029900  0.030000  0.016500  0.010300  0.024300  0.008600  0.007800  0.009000  0.027900  0.032000  0.000400  0.008600  0.002000  0.000900  0.039100  0.006000  0.003700  0.010800  0.001400  0.002100  0.001500
196411 -0.002600 -0.007000  0.002600  0.008400  0.001000 -0.009800 -0.009100 -0.002200 -0.008700 -0.021100  0.013000  0.006400 -0.003500  0.001900 -0.003400  0.004600  0.011000 -0.011200 -0.011200 -0.043600  0.007500 -0.006200  0.015200 -0.016400 -0.049800  0.000200  0.005700 -0.019900 -0.001200 -0.003300  0.011000
196412 -0.019500 -0.017000 -0.025200 -0.026700 -0.023800  0.011200 -0.000100  0.004900 -0.019000 -0.018500 -0.002900  0.007000 -0.006500 -0.021000 -0.012000  0.005800 -0.000800 -0.019800 -0.012700 -0.017500  0.005200  0.011000 -0.012000 -0.014900 -0.015700  0.000600 -0.000100 -0.027700 -0.000100  0.005700 -0.007100
196501  0.084100  0.055500  0.057800  0.071600  0.083300  0.073800  0.056900  0.051400  0.054300  0.061900  0.050900  0.058800  0.050700  0.056000  0.068000  0.053400  0.036900  0.049900  0.048500  0.072100  0.044100  0.009100  0.027800  0.033300  0.032900  0.035900  0.022900  0.005700  0.001200  0.005300 -0.013600
196502  0.013700  0.007600  0.025500  0.028100  0.027700  0.031100  0.035800  0.034400  0.030500  0.034900  0.036000  0.049600  0.044100  0.026000  0.030600  0.011100  0.030700  0.032400  0.028900  0.014700 -0.001200 -0.004000 -0.003100 -0.007000 -0.014800  0.004000  0.032100  0.003400 -0.001600 -0.002100  0.003100
196503  0.014100  0.023400  0.009400  0.018600  0.030400  0.016600 -0.016400  0.004800  0.010400  0.001600 -0.005900 -0.010100 -0.006800  0.012000  0.002800 -0.009600 -0.006100 -0.005900  0.000800  0.017500 -0.017000 -0.020000 -0.020600 -0.009600 -0.000800 -0.013300  0.018600  0.011800  0.001800 -0.002400  0.001000
